what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.findIncremental",1361628785843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628790968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.findReplace",1361628791031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628828484
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628831718
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1361628913828
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1361628913921
started,bundle,org.eclipse.jst.jsp.ui,1.1.501.v201008232032,"org.eclipse.jst.jsp.ui",1361628914328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628914343
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1361628914406
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628914734
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1361628914968
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1361628915078
started,bundle,org.eclipse.jst.jsp.core,1.2.302.v201008251735,"org.eclipse.jst.jsp.core",1361628915218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628915562
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361628920203
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628942218
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1361628958984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361628959203
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.openSearchDialog",1361628959265
