what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361135984593
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361135985640
no handler,command,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.zoom_in",1361136003562
no handler,command,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.zoom_in",1361136013062
no handler,command,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef.zoom_in",1361136037343
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.callhierarchy.view",1361136129328
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.callhierarchy.view",1361136129562
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361136130125
executed,command,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.edit.text.java.open.call.hierarchy",1361136130828
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361136172031
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1361136227437
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1361136227859
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.1.v201008232129,"org.eclipse.jst.ws.jaxws.ui",1361136232578
started,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1361136232625
started,bundle,org.eclipse.pde.api.tools,1.0.202.v20100820_r361,"org.eclipse.pde.api.tools",1361136233125
started,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1361136233156
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1361136233500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1361136251515
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1361136282015
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1361136290156
error,log,,,"Internal Error",1361136290343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361136298484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361136299031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1361136304875
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1361136317484
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1361136329640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361136400312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361136400343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361136400437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181121515
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181154796
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181170140
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181194265
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181195640
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181210484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181211031
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181330109
error,log,,,"Internal error logged from JDI Debug: ",1361181331593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181335656
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1361181376625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1361181397875
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1361181403328
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1361181403375
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1361181403375
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1361181403375
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1361181403375
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1361181403375
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1361181403390
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1361181403390
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1361181403390
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1361181403421
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1361181403468
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1361181403468
