what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411361500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360411387734
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360411390656
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360411394359
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360411395765
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360411404281
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360411412687
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360411414890
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360411419093
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360411420656
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360411444562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.cut",1360411593406
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1360411598000
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411745984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411746140
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1360411809750
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411849687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411853046
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411903406
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360411905562
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360411934656
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360411937828
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360411942890
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360411944812
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360411973921
started,bundle,org.eclipse.wst.server.core,1.1.204.v20100908,"org.eclipse.wst.server.core",1360411985218
started,bundle,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui",1360411985359
opened,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1360411985468
activated,view,org.eclipse.wst.server.ui,1.1.205.v20100908,"org.eclipse.wst.server.ui.ServersView",1360411985625
started,bundle,org.eclipse.datatools.connectivity,1.2.1.v201007142147,"org.eclipse.datatools.connectivity",1360411989750
started,bundle,org.eclipse.datatools.connectivity.ui,1.2.0.v201006250003,"org.eclipse.datatools.connectivity.ui",1360411989765
started,bundle,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.ui.dse",1360411989781
started,bundle,org.eclipse.datatools.enablement.ingres.ui,1.0.0.v201006242214,"org.eclipse.datatools.enablement.ingres.ui",1360411989859
started,bundle,org.eclipse.datatools.connectivity.sqm.core,1.2.1.v201008120113,"org.eclipse.datatools.connectivity.sqm.core",1360411990562
started,bundle,org.eclipse.datatools.connectivity.sqm.core.ui,1.2.0.v201002281800,"org.eclipse.datatools.connectivity.sqm.core.ui",1360411990593
opened,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1360411990859
activated,view,org.eclipse.datatools.connectivity.ui.dse,1.1.4.v201004270430,"org.eclipse.datatools.connectivity.DataSourceExplorerNavigator",1360411990984
started,bundle,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets",1360411994953
started,bundle,org.eclipse.gef,3.6.1.v20100712-1224,"org.eclipse.gef",1360411995468
started,bundle,org.eclipse.draw2d,3.6.1.v20100913-2020,"org.eclipse.draw2d",1360411997140
opened,view,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1360411998125
activated,view,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1360411998265
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360411999937
activated,view,org.eclipse.wst.common.snippets,1.2.1.v201008251905,"org.eclipse.wst.common.snippets.internal.ui.SnippetsView",1360412001921
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1360412004046
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.PropertySheet",1360412004140
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1360412006859
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1360412007000
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360412023890
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360412031718
started,bundle,org.eclipse.jst.server.core,1.2.101.v20100421,"org.eclipse.jst.server.core",1360412032171
started,bundle,org.eclipse.jst.jee,1.0.301.v201007151900,"org.eclipse.jst.jee",1360412032250
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.AllMarkersView",1360412038765
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360412040687
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360412103468
started,bundle,org.eclipse.ui.views.properties.tabbed,3.5.100.I20100509-0800,"org.eclipse.ui.views.properties.tabbed",1360412103546
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360412104671
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360412120687
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360412124953
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360412128890
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412148140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412170218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412172109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412378796
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360412384859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412587484
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412587500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412587609
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412985218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412985312
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360412985328
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413326359
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413328046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413328062
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413328437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413357609
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360413563250
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360413568843
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413619312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413625328
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413645593
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413645953
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413646187
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413646296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413646484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413646625
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413646765
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413647031
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360413648203
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360413751906
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413760937
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360413770687
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360413772062
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360413772531
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360414071671
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360414072234
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360414082234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360414082812
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360414205015
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360414228703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360414232500
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360414234765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415175734
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415177390
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415238765
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415464796
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360415464875
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360415465390
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1360415470734
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360415472812
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360415473343
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1360415475671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415536125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415862750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1360415877781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1360415882968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1360415907500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1360415917406
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineEnd",1360415937500
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415967515
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360415967687
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1360415985265
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360415987296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360416131046
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360416135171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416140593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416140953
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360416141078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416141625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416146250
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360416150062
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360416187484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360416277921
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360416280093
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360416284843
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360416287843
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360416303921
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360416308468
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360416310171
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416638218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416640765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360416945593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417163796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417464781
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417481250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417489640
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417489671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360417489703
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360419282125
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360419284953
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360419297187
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360419302687
