what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360271367359
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360271369125
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360271373312
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360271376671
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360271409343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360271759578
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360271761531
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360271811234
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360271813328
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360271817593
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360271821718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360272081921
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360272087218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272095828
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272112578
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360272112953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360272113187
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272369625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272369796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272380890
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272381093
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272544312
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272561781
error,log,,,"Internal Error",1360272562968
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360272565578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360272565796
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272577093
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272580250
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272588562
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272588765
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272661046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272671125
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272754437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272757625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272831906
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360272832109
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360272833796
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360272834296
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1360272834781
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1360272847046
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360272863953
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360272865234
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1360272868812
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1360272872703
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1360272875718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1360272896468
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360273198671
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360273266078
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360273338968
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360273340796
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1360273347062
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.exit",1360273347890
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1360273348265
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1360273348296
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1360273348343
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1360273348421
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1360273348531
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1360409432937
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1360409432937
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1360409432968
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1360409433093
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1360409433156
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1360409433171
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1360409433250
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1360409433312
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1360409433359
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1360409433437
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1360409433468
