[nltk_data] Downloading package stopwords to
[nltk_data]     C:\Users\monne\AppData\Roaming\nltk_data...
[nltk_data]   Package stopwords is already up-to-date!
Le mot helmet a 77 occurrence(s)
Le mot idomeneus a 76 occurrence(s)
Le mot angry a 75 occurrence(s)
Le mot hear a 75 occurrence(s)
Le mot war a 75 occurrence(s)
Le mot speak a 75 occurrence(s)
Le mot arrow a 74 occurrence(s)
Le mot gold a 74 occurrence(s)
Le mot gates a 74 occurrence(s)
Le mot night a 73 occurrence(s)
Le mot honour a 73 occurrence(s)
Le mot help a 73 occurrence(s)
Le mot hit a 73 occurrence(s)
Le mot face a 72 occurrence(s)
Le mot life a 72 occurrence(s)
Le mot place a 72 occurrence(s)
Le mot end a 72 occurrence(s)
Le mot bore a 71 occurrence(s)
Le mot cried a 71 occurrence(s)
Le mot feet a 71 occurrence(s)
Le mot women a 71 occurrence(s)
Le mot either a 70 occurrence(s)
Le mot comrade a 70 occurrence(s)
Le mot every a 70 occurrence(s)
Le mot nothing a 69 occurrence(s)
Le mot within a 69 occurrence(s)
Le mot better a 69 occurrence(s)
Le mot done a 69 occurrence(s)
Le mot hard a 69 occurrence(s)
Le mot soon a 69 occurrence(s)
Le mot ship a 68 occurrence(s)
Le mot led a 68 occurrence(s)
Le mot find a 67 occurrence(s)
Le mot wife a 67 occurrence(s)
Le mot turned a 67 occurrence(s)
Le mot taken a 67 occurrence(s)
Le mot kept a 67 occurrence(s)
Le mot trojan a 67 occurrence(s)
Le mot sword a 66 occurrence(s)
Le mot land a 66 occurrence(s)
Le mot goddess a 65 occurrence(s)
Le mot bow a 65 occurrence(s)
Le mot whereon a 65 occurrence(s)
Le mot anger a 64 occurrence(s)
Le mot coming a 64 occurrence(s)
Le mot neptune a 64 occurrence(s)
Le mot whose a 63 occurrence(s)
Le mot comrades a 63 occurrence(s)
Le mot dear a 63 occurrence(s)
Le mot shoulders a 62 occurrence(s)
Le mot spears a 62 occurrence(s)
Le mot slain a 62 occurrence(s)
Le mot part a 61 occurrence(s)
Le mot lord a 61 occurrence(s)
Le mot thick a 61 occurrence(s)
Le mot indeed a 61 occurrence(s)
Le mot meriones a 61 occurrence(s)
Le mot ranks a 61 occurrence(s)
Le mot given a 60 occurrence(s)
Le mot kill a 60 occurrence(s)
Le mot save a 60 occurrence(s)
Le mot reached a 60 occurrence(s)
Le mot foot a 60 occurrence(s)
Le mot brother a 60 occurrence(s)
Le mot however a 59 occurrence(s)
Le mot going a 59 occurrence(s)
Le mot dust a 59 occurrence(s)
Le mot antilochus a 59 occurrence(s)
Le mot bid a 58 occurrence(s)
Le mot drive a 58 occurrence(s)
Le mot moreover a 57 occurrence(s)
Le mot cut a 57 occurrence(s)
Le mot best a 57 occurrence(s)
Le mot fallen a 57 occurrence(s)
Le mot wounded a 57 occurrence(s)
Le mot called a 56 occurrence(s)
Le mot rose a 56 occurrence(s)
Le mot turn a 56 occurrence(s)
Le mot cannot a 56 occurrence(s)
Le mot rich a 56 occurrence(s)
Le mot meanwhile a 56 occurrence(s)
Le mot friends a 56 occurrence(s)
Le mot alone a 55 occurrence(s)
Le mot glory a 55 occurrence(s)
