identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
75107-21;75007;Paris;48.8492973, 2.3077697;Station;Voirie;Paris/Ségur/55;4;1;5
75108-27;75008;Paris;48.8795963, 2.3263307;Station;Voirie;Paris/Liège/24;4;1;5
75108-29;75008;Paris;48.87405, 2.325726;Station;Voirie;Paris/Haussmann/61;4;0;4
75109-06;75009;Paris;48.874155, 2.338559;Station;Voirie;Paris/Provence/35;4;0;4
75109-08;75009;Paris;48.8768536, 2.3302084;Station;Voirie;Paris/Londres/6;4;0;4
75109-23;75009;Paris;48.878643, 2.3347774;Station;Voirie;Paris/Aumale/28;4;0;4
75109-24;75009;Paris;48.8805732, 2.3317546;Station;Voirie;Paris/Paul Escudier/2;4;0;4
75110-05;75010;Paris;48.8791341, 2.3560476;Station;Voirie;Paris/La Fayette/143;4;0;4
75110-09;75010;Paris;48.87383, 2.365097;Station;Voirie;Paris/Grange aux Belles/11;4;0;4
75110-15;75010;Paris;48.87893, 2.36908;Station;Voirie;Paris/Louis Blanc/6;4;0;4
75110-28;75010;Paris;48.87569, 2.36801;Station;Voirie;Paris/Grange aux Belles/47;4;0;4
75110-29;75010;Paris;48.8836044, 2.3643056;Station;Voirie;Paris/Château Landon/52;4;0;4
75110-30;75010;Paris;48.879791, 2.350855;Station;Voirie;Paris/Belzunce/10;4;1;5
75110-32;75010;Paris;48.8740698, 2.3551424;Station;Voirie;Paris/Saint-Denis/91;4;0;4
75110-34;75010;Paris;48.87179, 2.372482;Station;Voirie;Paris/Buisson Saint Louis/2;4;0;4
75111-03;75011;Paris;48.8493744, 2.395332;Station;Voirie;Paris/Philippe Auguste/1;4;1;5
75111-09;75011;Paris;48.852023, 2.389719;Station;Voirie;Paris/Voltaire/236;4;1;5
75111-16;75011;Paris;48.8641096, 2.3799691;Station;Voirie;Paris/République/86;4;0;4
75111-23;75011;Paris;48.853661, 2.3923486;Station;Voirie;Paris/Philippe Auguste/65;4;1;5
75111-25;75011;Paris;48.8525733, 2.3830368;Station;Voirie;Paris/Faidherbe/27;4;1;5
75112-01;75012;Paris;48.8526773, 2.3710901;Station;Voirie;Paris/Saint-Antoine/16;4;1;5
75112-03;75012;Paris;48.8515769, 2.369445;Station;Voirie;Paris/Bastille/50;4;1;5
75112-18;75012;Paris;48.8334137, 2.388111;Station;Voirie;Paris/Pirogues de Bercy/44;4;1;5
75112-19;75012;Paris;48.8480068, 2.3940643;Espace;Voirie;Paris/Diderot/172;4;1;5
75112-21;75012;Paris;48.8461408, 2.4104799;Station;Voirie;Paris/Soult/137;4;0;4
75112-26;75012;Paris;48.8406851, 2.400428;Station;Voirie;Paris/Picpus/7;4;0;4
75113-03;75013;Paris;48.8186561, 2.3623864;Station;Voirie;Paris/Paulin Enfert/6;4;1;5
75113-06;75013;Paris;48.82195, 2.345853;Station;Voirie;Paris/Rungis/2;4;0;4
75113-11;75013;Paris;48.8356, 2.350015;Station;Voirie;Paris/Berbier du Mets/26;4;0;4
75114-05;75014;Paris;48.83912, 2.337229;Station;Voirie;Paris/Henri Barbusse/66;4;1;5
75114-09;75014;Paris;48.8343392, 2.3178674;Station;Voirie;Paris/Pernety/46;4;0;4
75114-13;75014;Paris;48.83072, 2.325855;Station;Voirie;Paris/Maine/185;4;0;4
75114-21;75014;Paris;48.8249705, 2.3382509;Station;Voirie;Paris/Sibelle/29;4;0;4
75114-23;75014;Paris;48.8345527, 2.3361913;Station;Voirie;Paris/Arago/85;4;0;4
75115-07;75015;Paris;48.8395783, 2.2986453;Station;Voirie;Paris/Gerbert/11;4;0;4
75115-11;75015;Paris;48.83492, 2.302564;Station;Voirie;Paris/Cronstadt/2;4;0;4
75115-12;75015;Paris;48.8467033, 2.2844167;Station;Voirie;Paris/Émile Zola/65;4;0;4
75115-18;75015;Paris;48.8406886, 2.2876391;Station;Voirie;Paris/Houdart de Lamotte/2;4;1;5
75115-29;75015;Paris;48.8304, 2.295999;Station;Voirie;Paris/Dantzig/80;4;0;4
75115-39;75015;Paris;48.842111, 2.3091306;Station;Voirie;Paris/Émile Duclaux/19;4;0;4
75115-45;75015;Paris;48.8539296, 2.2964095;Station;Voirie;Paris/Suffren/44;4;0;4
75115-48;75015;Paris;48.8445403, 2.2771564;Espace;Voirie;Paris/Balard/18;4;1;5
75115-55;75015;Paris;48.8404209, 2.3042578;Station;Voirie;Paris/Vaugirard/230;4;0;4
75115-58;75015;Paris;48.8385459, 2.3126749;Station;Voirie;Paris/Cotentin/29;4;1;5
75116-05;75016;Paris;48.8684739, 2.2926576;Station;Voirie;Paris/États-Unis/16;4;1;5
75116-07;75016;Paris;48.87031, 2.275537;Station;Voirie;Paris/Flandrin/83;4;1;5
75116-13;75016;Paris;48.8639536, 2.2806137;Station;Voirie;Paris/Georges Mandel/42;4;0;4
75116-15;75016;Paris;48.8612923, 2.28423;Station;Voirie;Paris/Pétrarque/2;4;1;5
75116-20;75016;Paris;48.8658188, 2.2762194;Station;Voirie;Paris/Victor Hugo/180;4;0;4
75116-22;75016;Paris;48.8629938, 2.2857836;Station;Voirie;Paris/Georges Mandel/1;4;0;4
75117-05;75017;Paris;48.88556, 2.296562;Station;Voirie;Paris/Courcelles/188;4;0;4
75117-09;75017;Paris;48.88676, 2.311893;Station;Voirie;Paris/Jouffroy d'Abbans/14;4;0;4
75117-22;75017;Paris;48.87959, 2.303352;Station;Voirie;Paris/Chazelles/1;4;0;4
75117-28;75017;Paris;48.8854246, 2.2849721;Station;Voirie;Paris/Porte de Villiers/28;4;1;5
75117-38;75017;Paris;48.88093, 2.309852;Station;Voirie;Paris/Georges Berger/2;4;1;5
75117-44;75017;Paris;48.8887616, 2.3257382;Station;Voirie;Paris/Saint-Ouen/19;4;0;4
75117-PG;75017;Paris;48.8789949, 2.2934366;Station;Parking;Paris/Ternes/38;6;0;6
75118-07;75018;Paris;48.895422, 2.3499795;Station;Voirie;Paris/Championnet/28;4;1;5
