identifiant_dsp;code_postal;ville;field13;type_de_station;emplacement;nom_de_la_station;places_autolib;places_recharge_tiers;nombre_total_de_places
75115-PD;75015;Paris;48.8397806, 2.3124999;Station;Parking;Paris/Falguière/81;6;0;6
75115-PI;75015;Paris;48.8416996, 2.2996144;Station;Parking;Paris/Lecourbe/141;6;0;6
75116-03;75016;Paris;48.870343, 2.286851;Espace;Voirie;Paris/Victor Hugo/60;4;1;5
75116-08;75016;Paris;48.8534164, 2.2685249;Station;Voirie;Paris/Mozart/68;4;1;5
75116-12;75016;Paris;48.84744, 2.258728;Station;Voirie;Paris/Murat/1;4;1;5
75116-19;75016;Paris;48.8538134, 2.2768772;Station;Voirie;Paris/Ranelagh/33;4;1;5
75116-28;75016;Paris;48.845175, 2.2641594;Station;Voirie;Paris/Molitor/16;4;1;5
75116-33;75016;Paris;48.8437929, 2.2698931;Station;Voirie;Paris/Versailles/112;4;1;5
75117-12;75017;Paris;48.884737, 2.321309;Station;Voirie;Paris/Batignolles/27;4;1;5
75117-16;75017;Paris;48.8832876, 2.3080623;Station;Voirie;Paris/Villiers/46;4;0;4
75117-18;75017;Paris;48.8876949, 2.3050366;Espace;Voirie;Paris/Pereire/50;4;1;5
75117-34;75017;Paris;48.8901162, 2.2964035;Station;Voirie;Paris/Raymond Pitet/7;4;0;4
75117-35;75017;Paris;48.88576, 2.299225;Station;Voirie;Paris/Pereire/115;4;1;5
75117-43;75017;Paris;48.8920729, 2.32707;Station;Voirie;Paris/Saint Ouen/67;4;0;4
75118-13;75018;Paris;48.8872522, 2.3330069;Station;Voirie;Paris/Caulaincourt/17;4;0;4
75118-43;75018;Paris;48.8984293, 2.3347923;Station;Voirie;Paris/Henry Brisson/5;4;1;5
75118-44;75018;Paris;48.8990509, 2.3649827;Station;Voirie;Paris/Charles Hermite/52;4;1;5
75119-01;75019;Paris;48.894802, 2.372075;Station;Voirie;Paris/Crimée/251;4;1;5
75119-03;75019;Paris;48.8911334, 2.3725951;Station;Voirie;Paris/Mathis/35;4;0;4
75119-06;75019;Paris;48.888195, 2.3730799;Station;Voirie;Paris/Flandre/61;4;1;5
75119-14;75019;Paris;48.886098, 2.3936;Station;Voirie;Paris/Manin/159;4;1;5
75119-16;75019;Paris;48.8848179, 2.3901243;Station;Voirie;Paris/Goubet/8;5;0;5
75119-18;75019;Paris;48.87808, 2.371484;Espace;Voirie;Paris/Mathurin Moreau/6;4;1;5
75119-22;75019;Paris;48.8794816, 2.388647;Station;Voirie;Paris/Botzaris/76;4;0;4
75119-35;75019;Paris;48.8806038, 2.37444;Station;Voirie;Paris/Secrétan/44;4;1;5
75120-13;75020;Paris;48.8698372, 2.3850271;Station;Voirie;Paris/Julien Lacroix/39;5;0;5
75120-22;75020;Paris;48.8587455, 2.4101638;Station;Voirie;Paris/Harpignies/3;4;1;5
75120-23;75020;Paris;48.8477968, 2.4060203;Station;Voirie;Paris/Vincennes/65;4;1;5
75120-32;75020;Paris;48.8638431, 2.3908816;Station;Voirie;Paris/Gambetta/19;4;0;4
75120-34;75020;Paris;48.8569151, 2.3941433;Station;Voirie;Paris/Charonne/158;4;1;5
75120-45;75020;Paris;48.8679058, 2.3826171;Station;Voirie;Paris/Belleville/22;4;0;4
92004-07;92600;Asnières-sur-Seine;48.91587, 2.291084;Espace;Voirie;Asnières-sur-Seine/Georges Guynemer/97;6;0;6
92004-08;92600;Asnières-sur-Seine;48.9175117, 2.281802;Station;Voirie;Asnières-sur-Seine/Argenteuil/152;6;0;6
92004-11;92600;Asnières-sur-Seine;48.9164, 2.295224;Espace;Voirie;Asnières-sur-Seine/Bas/6;6;0;6
92004-13;92600;Asnières-sur-Seine;48.9069487, 2.2694015;Station;Voirie;Asnières-sur-Seine/Denfert Rochereau/8;6;0;6
92007-07;92220;Bagneux;48.7991008, 2.3177148;Station;Voirie;Bagneux/Louis Pasteur/17;6;0;6
92007-08;92220;Bagneux;48.8059298, 2.3143019;Station;Voirie;Bagneux/Jean Marin Naudin/5;6;0;6
92012-12;92100;Boulogne-Billancourt;48.8365078, 2.2524132;Station;Voirie;Boulogne-Billancourt/Henri Martin/2;6;0;6
92012-18;92100;Boulogne-Billancourt;48.83162, 2.230167;Station;Voirie;Boulogne-Billancourt/Sèvres/80;6;0;6
92012-30;92100;Boulogne-Billancourt;48.8388074, 2.2505008;Station;Voirie;Boulogne-Billancourt/Reine/12;6;0;6
92012-34;92100;Boulogne-Billancourt;48.8281027, 2.2422542;Station;Voirie;Boulogne-Billancourt/Meudon/40;6;0;6
92012-50;92100;Boulogne-Billancourt;48.83545, 2.225633;Station;Voirie;Boulogne-Billancourt/Alphonse Le Gallo/35;6;0;6
92020-05;92320;Châtillon;48.798768, 2.294377;Station;Voirie;Châtillon/Liberté/100;7;0;7
92022-02;92370;Chaville;48.8038815, 2.1883009;Station;Voirie;Chaville/Anatole France/28;6;0;6
92022-04;92370;Chaville;48.8149125, 2.1935315;Station;Voirie;Chaville/Roger Salengro/705;6;0;6
92023-04;92140;Clamart;48.813219, 2.258785;Station;Voirie;Clamart/Verdun/1;6;0;6
92023-09;92140;Clamart;48.7870782, 2.255763;Station;Voirie;Clamart/De Gaulle/233;6;0;6
92023-11;92140;Clamart;48.78123, 2.238153;Station;Voirie;Clamart/République/2;6;0;6
92023-19;92140;Clamart;48.7990591, 2.2625392;Station;Voirie;Clamart/Ferrari/1;6;0;6
92025-01;92700;Colombes;48.9219814, 2.2550527;Espace;Voirie;Colombes/Maréchal Joffre/30;6;0;6
92025-04;92700;Colombes;48.9246525, 2.259313;Station;Voirie;Colombes/Ménelotte/8;6;0;6
92025-14;92700;Colombes;48.9151379, 2.2284904;Station;Voirie;Colombes/Charles de Gaulle/156;6;0;6
92032-04;92260;Fontenay-aux-Roses;48.795005, 2.274407;Station;Voirie;Fontenay-aux-Roses/Division Leclerc/31;7;0;7
92032-05;92260;Fontenay-aux-Roses;48.794247, 2.297986;Station;Voirie;Fontenay-aux-Roses/Marx Dormoy/71;6;0;6
92035-01;92250;La Garenne-Colombes;48.90628, 2.249208;Espace;Voirie;La Garenne-Colombes/République/52;5;1;6
92036-10;92230;Gennevilliers;48.91757, 2.307151;Espace;Voirie;Gennevilliers/Georges Corete/1;6;0;6
92040-07;92130;Issy-les-Moulineaux;48.82497, 2.267735;Station;Voirie;Issy-les-Moulineaux/Gallieni/84;6;0;6
92040-10;92130;Issy-les-Moulineaux;48.8215502, 2.2613183;Station;Voirie;Issy-les-Moulineaux/Garibaldi/18;6;0;6
92040-17;92130;Issy-les-Moulineaux;48.8326967, 2.2682505;Station;Voirie;Issy-les-Moulineaux/Bara/28;6;0;6
92040-20;92130;Issy-les-Moulineaux;48.8187533, 2.2778594;Station;Voirie;Issy-les-Moulineaux/De Gaulle/88;6;0;6
92044-PA;92300;Levallois-Perret;48.89324, 2.288878;Station;Parking;Levallois-Perret/République/1;6;0;6
92044-PC;92300;Levallois-Perret;48.8987082, 2.2813485;Station;Parking;Levallois-Perret/Georges Pompidou/1;6;0;6
92046-01;92240;Malakoff;48.82027, 2.301874;Station;Voirie;Malakoff/Wilson/2;6;0;6
92046-08;92240;Malakoff;48.8180219, 2.2918859;Station;Voirie;Malakoff/Arblade/9;6;0;6
92048-03;92190;Meudon;48.82148, 2.22769;Station;Voirie;Meudon/Marcel Allégot/12;6;0;6
92048-05;92190;Meudon;48.8077664, 2.2350182;Station;Voirie;Meudon/Terre Neuve/3;6;0;6
92048-08;92360;Meudon-la-Forêt;48.788083, 2.216266;Station;Voirie;Meudon/Maréchal Juin/18;6;0;6
92049-16;92120;Montrouge;48.8102056, 2.3170366;Station;Voirie;Montrouge/Verdun/36;6;0;6
92050-09;92000;Nanterre;48.89591, 2.198215;Station;Voirie;Nanterre/Gare/9;6;0;6
92050-11;92000;Nanterre;48.91221, 2.223302;Station;Voirie;Nanterre/République/403;6;0;6
92050-15;92000;Nanterre;48.8829721, 2.2040354;Station;Voirie;Nanterre/Paul Vaillant Couturier/94;6;0;6
92050-16;92000;Nanterre;48.8855529, 2.1959224;Station;Voirie;Nanterre/Maréchal Joffre/28;5;0;5
92050-27;92000;Nanterre;48.8963559, 2.2076635;Station;Voirie;Nanterre/Vincent Raspail/5;6;0;6
92062-05;92800;Puteaux;48.887385, 2.232151;Station;Voirie;Puteaux/Charles De Gaulle/70;6;0;6
92063-01;92500;Rueil-Malmaison;48.8876242, 2.1693918;Station;Voirie;Rueil-Malmaison/Édouard Belin/8;4;0;4
92063-06;92500;Rueil-Malmaison;48.87681, 2.173765;Station;Voirie;Rueil-Malmaison/Bois Préau/1;6;0;6
92063-15;92500;Rueil-Malmaison;48.8573584, 2.1933594;Station;Voirie;Rueil-Malmaison/De Montbrison/188;6;0;6
92063-17;92500;Rueil-Malmaison;48.8926928, 2.1725973;Station;Voirie;Rueil-Malmaison/Henri Sainte-Claire Déville/12;6;0;6
92063-24;92500;Rueil-Malmaison;48.8680715, 2.1930392;Station;Voirie;Rueil-Malmaison/18 juin 1940/63;5;0;5
92071-03;92330;Sceaux;48.7771124, 2.2965901;Espace;Voirie;Sceaux/Franklin Roosevelt/60;6;0;6
92071-04;92330;Sceaux;48.7842765, 2.3027628;Station;Voirie;Sceaux/Bagneux/52;6;0;6
92072-04;92310;Sèvres;48.821593, 2.2050638;Station;Voirie;Sèvres/Grande Rue/123;6;0;6
92072-06;92310;Sèvres;48.8261, 2.20015;Station;Voirie;Sèvres/Riocreux/1;6;0;6
92073-05;92150;Suresnes;48.8636819, 2.208944;Station;Voirie;Suresnes/Jean Jaurès/21;6;0;6
92073-13;92150;Suresnes;48.8699508, 2.218031;Station;Voirie;Suresnes/Fontaine du Tertre/21;6;0;6
92075-01;92170;Vanves;48.82097, 2.29165;Station;Voirie;Vanves/René Sahors/9;6;0;6
92078-01;92390;Villeneuve-la-Garenne;48.9354388, 2.3261213;Station;Voirie;Villeneuve-la-Garenne/Saint-Exupéry/1;6;0;6
93006-02;93170;Bagnolet;48.87608, 2.418952;Station;Voirie;Bagnolet/Pasteur/124;6;0;6
93006-04;93170;Bagnolet;48.86504, 2.417886;Espace;Voirie;Bagnolet/De Gaulle/33;6;0;6
93013-02;93350;Le Bourget;48.9350451, 2.424831;Espace;Voirie;Le Bourget/Anizan Cavillon/10;6;0;6
93013-04;93350;Le Bourget;48.93211, 2.426913;Station;Voirie;Le Bourget/Élise Deroche/10;6;0;6
93029-01;93700;Drancy;48.91845, 2.418932;Station;Voirie;Drancy/Saint Stenay/29;7;0;7
93029-02;93700;Drancy;48.9222845, 2.4476628;Espace;Voirie;Drancy/Couturier/24;6;0;6
93029-04;93700;Drancy;48.93327, 2.455181;Station;Voirie;Drancy/Latéral/20;5;1;6
93045-01;93260;Les Lilas;48.8793959, 2.4156066;Espace;Voirie;Les Lilas/Georges Pompidou/3;5;1;6
93070-02;93400;Saint-Ouen;48.90573, 2.321015;Station;Voirie;Saint-Ouen/Dulcie September/3;6;0;6
93070-04;93400;Saint-Ouen;48.9082928, 2.3400493;Station;Voirie;Saint-Ouen/Dieumegard/1;6;0;6
93070-12;93400;Saint-Ouen;48.90382, 2.329175;Station;Voirie;Saint-Ouen/Capitaine Glaner/44;6;0;6
94002-09;94140;Alfortville;48.80542, 2.421282;Station;Voirie;Alfortville/Joseph Franceschi/1;6;0;6
94016-03;94230;Cachan;48.7929328, 2.3217392;Station;Voirie;Cachan/Pont Royal/24;6;0;6
94016-05;94230;Cachan;48.7985337, 2.3269032;Station;Voirie;Cachan/Carnot/36;6;1;7
94016-06;94230;Cachan;48.7862756, 2.3403992;Station;Voirie;Cachan/Saussaies/36;6;0;6
94018-04;94220;Charenton-le-Pont;48.82214, 2.413997;Espace;Voirie;Charenton-le-Pont/Jean Jaurès/4;4;0;4
94028-01;94000;Créteil;48.7886205, 2.4550166;Station;Voirie;Créteil/Maurice Déménitroux/25;;;
94028-04;94000;Créteil;48.766, 2.470911;Station;Voirie;Créteil/Claude-Nicolas Ledoux/4;6;0;6
94028-07;94000;Créteil;48.77664, 2.467872;Station;Voirie;Créteil/Juliette Savar/102;6;0;6
94028-10;94000;Créteil;48.79663, 2.44808;Station;Voirie;Créteil/De Gaulle/70;6;0;6
94028-15;94000;Créteil;48.7738474, 2.4600815;Station;Voirie;Créteil/Jean-Baptiste Oudry/32;6;0;6
94044-03;94450;Limeil-Brévannes;48.74356, 2.504422;Station;Voirie;Limeil-Brévannes/Valenton/55;6;0;6
94046-04;94700;Maisons-Alfort;48.79878, 2.433635;Station;Voirie;Maisons-Alfort/Léon Blum/16;6;0;6
94046-11;94700;Maisons-Alfort;48.8138166, 2.4212353;Espace;Voirie;Maisons-Alfort/De Gaulle/42;6;0;6
94067-01;94160;Saint-Mandé;48.8468108, 2.4175419;Espace;Voirie;Saint-Mandé/Galliéni/178;6;0;6
94076-02;94800;Villejuif;48.80543, 2.362543;Station;Voirie;Villejuif/René Thibert/7;6;0;6
94076-05;94800;Villejuif;48.8003, 2.356283;Station;Voirie;Villejuif/Marcel Paul/6;6;0;6
94076-10;94800;Villejuif;48.7891489, 2.3670245;Station;Voirie;Villejuif/Jean Jaurès/153;6;0;6
94076-11;94800;Villejuif;48.787963, 2.3512833;Station;Voirie;Villejuif/Auguste Perret/11;6;0;6
75108-19;75008;Paris;48.8778333, 2.310832;Station;Voirie;Paris/Monceau/43;4;0;4
75108-24;75008;Paris;48.8741642, 2.2976358;Station;Voirie;Paris/Friedland/42;4;0;4
75108-26;75008;Paris;48.8830163, 2.325922;Station;Voirie;Paris/Batignolles/9;4;0;4
75108-PD;75008;Paris;48.8671133, 2.3206859;Station;Parking;Paris/Gabriel/2;6;0;6
75109-07;75009;Paris;48.8804478, 2.3283632;Station;Voirie;Paris/Jules Lefèbvre/1;4;1;5
75109-12;75009;Paris;48.8810493, 2.3409204;Espace;Voirie;Paris/Trudaine/26;4;1;5
75109-13;75009;Paris;48.8753135, 2.332521;Station;Voirie;Paris/Victoire/76;4;0;4
75109-18;75009;Paris;48.875921, 2.3382898;Station;Voirie;Paris/Chateaudun/21;4;0;4
75109-25;75009;Paris;48.8738324, 2.3425629;Station;Voirie;Paris/Montmartre/31;4;0;4
75109-26;75009;Paris;48.8777212, 2.3409177;Station;Voirie;Paris/Milton/12;4;0;4
75110-01;75010;Paris;48.87484, 2.36289;Station;Voirie;Paris/Valmy/107;4;1;5
75110-03;75010;Paris;48.8800771, 2.3637098;Station;Voirie;Paris/Saint-Martin/203;4;0;4
75110-07;75010;Paris;48.877257, 2.3612551;Station;Voirie;Paris/Saint-Martin/168;4;0;4
75110-12;75010;Paris;48.8814921, 2.3629571;Station;Voirie;Paris/Château Landon/24;4;1;5
75110-25;75010;Paris;48.87081, 2.354076;Station;Voirie;Paris/Metz/6;4;0;4
75111-01;75011;Paris;48.8545026, 2.370183;Station;Voirie;Paris/Richard Lenoir/8;4;0;4
75111-08;75011;Paris;48.8586443, 2.3841089;Station;Voirie;Paris/Roquette/162;5;0;5
75111-18;75011;Paris;48.8667728, 2.3674134;Station;Voirie;Paris/République/5;4;0;4
75111-22;75011;Paris;48.8577957, 2.390264;Station;Voirie;Paris/Philippe Auguste/126;4;0;4
75111-24;75011;Paris;48.84948, 2.397761;Station;Voirie;Paris/Taillebourg/2;4;0;4
75112-08;75012;Paris;48.8458586, 2.3748769;Espace;Voirie;Paris/Diderot/24;4;1;5
75112-33;75012;Paris;48.8309152, 2.3990969;Station;Voirie;Paris/Porte de Charenton/2;4;0;4
75113-09;75013;Paris;48.82847, 2.361255;Station;Voirie;Paris/Charles Moureu/42;4;1;5
75113-19;75013;Paris;48.8205622, 2.3643333;Station;Voirie;Paris/Choisy/8;4;0;4
75113-22;75013;Paris;48.8279725, 2.3721949;Station;Voirie;Paris/Tolbiac/41;4;1;5
75113-24;75013;Paris;48.8304583, 2.3672231;Station;Voirie;Paris/Jeanne D'Arc/45;4;0;4
75113-26;75013;Paris;48.8332654, 2.3568808;Station;Voirie;Paris/Hôpital/157;4;1;5
75113-28;75013;Paris;48.8344789, 2.3672062;Station;Voirie;Paris/Vincent Auriol/81;4;1;5
75113-38;75013;Paris;48.8231521, 2.3753988;Station;Voirie;Paris/Darmesteter/12;4;0;4
75114-01;75014;Paris;48.822183, 2.3248774;Station;Voirie;Paris/25 Août 1944/8;4;0;4
75114-06;75014;Paris;48.8388247, 2.3221905;Espace;Voirie;Paris/Maine/78;4;1;5
75114-11;75014;Paris;48.842173, 2.323305;Station;Voirie;Paris/Départ/23;4;1;5
75114-14;75014;Paris;48.8370573, 2.3245391;Station;Voirie;Paris/Froideveaux/71;4;0;4
75114-18;75014;Paris;48.8254486, 2.3117069;Station;Voirie;Paris/Georges Lafenestre/11;4;1;5
75114-26;75014;Paris;48.8237041, 2.3195528;Station;Voirie;Paris/Nicolas Taunay/7;4;0;4
75114-29;75014;Paris;48.8230593, 2.322823;Station;Voirie;Paris/Porte de Montrouge/8;4;1;5
75115-03;75015;Paris;48.843154, 2.321689;Station;Voirie;Paris/Arrivée/16;4;0;4
75115-08;75015;Paris;48.846148, 2.278533;Station;Voirie;Paris/Emile Zola/6;4;0;4
75115-09;75015;Paris;48.8490157, 2.2874011;Station;Voirie;Paris/Héricart/54;4;0;4
75115-20;75015;Paris;48.8458068, 2.3038076;Station;Voirie;Paris/Miollis/21;4;1;5
75115-24;75015;Paris;48.8373119, 2.2847182;Station;Voirie;Paris/Lecourbe/336;4;1;5
75115-26;75015;Paris;48.8425678, 2.2848904;Station;Voirie;Paris/Convention/75;4;0;4
75115-27;75015;Paris;48.8351985, 2.2914295;Station;Voirie;Paris/Olier/15;4;1;5
75115-31;75015;Paris;48.8454505, 2.292136;Station;Voirie;Paris/Commerce/5;4;0;4
75115-38;75015;Paris;48.8434786, 2.2994811;Station;Voirie;Paris/Mademoiselle/67;4;1;5
75115-42;75015;Paris;48.8447061, 2.3198109;Station;Voirie;Paris/Maine/4;4;0;4
75115-46;75015;Paris;48.8373656, 2.3059905;Station;Voirie;Paris/Paul Barruel/44;4;0;4
75116-10;75016;Paris;48.8639711, 2.2880679;Station;Voirie;Paris/Kléber/89;4;0;4
75116-23;75016;Paris;48.8487919, 2.2661693;Station;Voirie;Paris/Jean de la Fontaine/77;4;0;4
75116-25;75016;Paris;48.8509978, 2.2719012;Station;Voirie;Paris/Jean de la Fontaine/42;4;0;4
75116-30;75016;Paris;48.8412643, 2.2643832;Station;Voirie;Paris/Exelmans/32;4;0;4
75116-34;75016;Paris;48.8654617, 2.2995713;Station;Voirie;Paris/Marceau/1;4;1;5
75116-PA;75016;Paris;48.873676, 2.292006;Station;Parking;Paris/Foch/37;6;0;6
75117-02;75017;Paris;48.8975767, 2.3232481;Station;Voirie;Paris/Porte Pouchet/1;4;1;5
75117-10;75017;Paris;48.88879, 2.32219;Station;Voirie;Paris/Legendre/126;4;1;5
75117-24;75017;Paris;48.8867348, 2.2955406;Station;Voirie;Paris/Courcelles/210;4;0;4
75117-27;75017;Paris;48.881032, 2.2956282;Station;Voirie;Paris/Niel/28;4;1;5
75117-30;75017;Paris;48.876042, 2.288446;Station;Voirie;Paris/Grande Armée/40;4;0;4
75117-41;75017;Paris;48.8884456, 2.3160603;Station;Voirie;Paris/Charles Fillion/22;4;1;5
75118-05;75018;Paris;48.8836276, 2.3339857;Station;Voirie;Paris/Clichy/70;4;0;4
75118-10;75018;Paris;48.8913286, 2.3385496;Station;Voirie;Paris/Marcadet/150;5;0;5
75118-11;75018;Paris;48.8948847, 2.3355224;Station;Voirie;Paris/Championnet/162;4;1;5
75118-32;75018;Paris;48.895148, 2.3595823;Station;Voirie;Paris/Boucry/35;4;0;4
75118-35;75018;Paris;48.8883596, 2.3480345;Station;Voirie;Paris/Custine/17;4;1;5
75119-02;75019;Paris;48.8792228, 2.3839164;Station;Voirie;Paris/Botzaris/50;4;0;4
75119-05;75019;Paris;48.90176, 2.38589;Station;Voirie;Paris/Émile Reynaud/4;4;1;5
75119-12;75019;Paris;48.8857, 2.3833508;Station;Voirie;Paris/Lorraine/22;4;0;4
75119-13;75019;Paris;48.888588, 2.3888175;Station;Voirie;Paris/Adolphe Mille/8;4;1;5
75119-19;75019;Paris;48.877449, 2.374112;Station;Voirie;Paris/Simon Bolivar/96;4;0;4
75119-21;75019;Paris;48.8768667, 2.3811899;Station;Voirie;Paris/Botzaris/16;4;1;5
75119-23;75019;Paris;48.88075, 2.397629;Espace;Voirie;Paris/Sérurier/54;4;1;5
75119-29;75019;Paris;48.8846108, 2.3697594;Station;Voirie;Paris/Flandre/6;4;1;5
75119-34;75019;Paris;48.894, 2.380947;Espace;Voirie;Paris/Flandre/169;4;1;5
75119-36;75019;Paris;48.8821756, 2.3708912;Station;Voirie;Paris/Secrétan/4;4;0;4
75120-02;75020;Paris;48.8732135, 2.3903853;Espace;Voirie;Paris/Pyrénées/330;4;1;5
75120-11;75020;Paris;48.8632187, 2.388968;Station;Voirie;Paris/Gambetta/1;5;0;5
75120-12;75020;Paris;48.8656837, 2.3929721;Station;Voirie;Paris/Sorbier/40;4;1;5
75120-14;75020;Paris;48.85317, 2.412055;Station;Voirie;Paris/Charles et Robert/6;4;0;4
75120-15;75020;Paris;48.8614319, 2.4056437;Station;Voirie;Paris/Bagnolet/142;4;1;5
75120-20;75020;Paris;48.8557933, 2.4079711;Station;Voirie;Paris/Orteaux/92;4;0;4
75120-26;75020;Paris;48.865359, 2.405207;Station;Voirie;Paris/Capitaine Ferber/5;4;1;5
75120-09;75020;Paris;48.86959, 2.400348;Station;Voirie;Paris/Pelleport/105;4;1;5
75120-10;75020;Paris;48.8730881, 2.4092069;Station;Voirie;Paris/Guébriant/6;4;1;5
75120-21;75020;Paris;48.854194, 2.405656;Station;Voirie;Paris/Pyrénées/89;4;0;4
75120-28;75020;Paris;48.8650994, 2.3963304;Station;Voirie;Paris/Gambetta/65;4;1;5
92004-01;92600;Asnières-sur-Seine;48.9100165, 2.2897023;Station;Voirie;Asnières-sur-Seine/Sadi Carnot/10;6;0;6
92004-04;92600;Asnières-sur-Seine;48.9073637, 2.2830507;Station;Voirie;Asnières-sur-Seine/Marne/44;5;0;5
92004-05;92600;Asnières-sur-Seine;48.9125949, 2.2948209;Station;Voirie;Asnières-sur-Seine/Jean-Jacques Rousseau/2;6;0;6
92004-06;92600;Asnières-sur-Seine;48.9120069, 2.2863503;Station;Voirie;Asnières-sur-Seine/Colombes/4;5;0;5
92004-18;92600;Asnières-sur-Seine;48.9233235, 2.2853356;Station;Voirie;Asnières-sur-Seine/Émile Zola/17;6;0;6
92007-01;92220;Bagneux;48.7941792, 2.3017033;Station;Voirie;Bagneux/Léon Blum/13;6;0;6
92007-06;92220;Bagneux;48.8018111, 2.3157545;Espace;Voirie;Bagneux/Henri Barbusse/43;6;0;6
92007-13;92220;Bagneux;48.7920857, 2.3065992;Station;Voirie;Bagneux/Mathurins/2;6;0;6
92012-01;92100;Boulogne-Billancourt;48.8344135, 2.2464756;Station;Voirie;Boulogne-Billancourt/Édouard Vaillant/81;6;0;6
92019-01;92290;Châtenay-Malabry;48.76739, 2.255521;Station;Voirie;Châtenay-Malabry/Jean Jaurès/280;6;0;6
92019-05;92290;Châtenay-Malabry;48.7637779, 2.2725155;Station;Voirie;Châtenay-Malabry/Division Leclerc/215;6;0;6
92020-02;92320;Châtillon;48.8064005, 2.2982685;Station;Voirie;Châtillon/République/140;5;0;5
92020-04;92320;Châtillon;48.8048765, 2.2898962;Station;Voirie;Châtillon/Paris/21;6;0;6
92020-08;92320;Châtillon;48.79988, 2.281576;Station;Voirie;Châtillon/Verdun/76;6;0;6
92025-07;92700;Colombes;48.9278206, 2.2530496;Station;Voirie;Colombes/Audra/7;6;0;6
92025-10;92700;Colombes;48.9108414, 2.2356811;Station;Voirie;Colombes/Estienne d'Orves/348;6;0;6
92025-11;92700;Colombes;48.9172575, 2.2365491;Station;Voirie;Colombes/Gabriel Péri/335;5;0;5
92025-15;92700;Colombes;48.9095825, 2.2387774;Station;Voirie;Colombes/Pierre Brosselette/42;6;0;6
92026-15;92400;Courbevoie;48.8963773, 2.256579;Espace;Voirie;Courbevoie/Hérold/6;5;1;6
92032-01;92260;Fontenay-aux-Roses;48.7906824, 2.28727;Espace;Voirie;Fontenay-aux-Roses/Jean Jaurès/3;4;0;4
92032-06;92260;Fontenay-aux-Roses;48.7835391, 2.2830741;Station;Voirie;Fontenay-aux-Roses/Paul Langevin/70;6;0;6
92036-07;92230;Gennevilliers;48.9242205, 2.2942668;Espace;Voirie;Gennevilliers/Gabriel Péri/169;6;0;6
92036-11;92230;Gennevilliers;48.91985, 2.314065;Station;Voirie;Gennevilliers/Grésillons/215;6;0;6
92040-01;92130;Issy-les-Moulineaux;48.8294072, 2.2644545;Station;Voirie;Issy-les-Moulineaux/Camille Desmoulins/31;6;0;6
92040-11;92130;Issy-les-Moulineaux;48.81731, 2.27009;Station;Voirie;Issy-les-Moulineaux/Promenade du Verger/166;6;0;6
92040-16;92130;Issy-les-Moulineaux;48.8238961, 2.2621859;Station;Voirie;Issy-les-Moulineaux/René Jacques/1;4;1;5
92040-18;92130;Issy-les-Moulineaux;48.83073, 2.278246;Station;Voirie;Issy-les-Moulineaux/Guynemer/16;6;0;6
92044-PB;92300;Levallois-Perret;48.8944531, 2.2883803;Station;Parking;Levallois-Perret/Wilson/80;6;0;6
92046-04;92240;Malakoff;48.82317, 2.29935;Espace;Voirie;Malakoff/Charles de Gaulle/47;6;0;6
92046-09;92240;Malakoff;48.8118151, 2.2811943;Station;Voirie;Malakoff/Malleret Joinville/2;6;0;6
92048-01;92190;Meudon;48.8124566, 2.2378816;Station;Voirie;Meudon/Ponceau/2;4;0;4
92049-02;92120;Montrouge;48.81634, 2.311644;Station;Voirie;Montrouge/Jean Jaurès/51;6;0;6
92049-10;92120;Montrouge;48.81737, 2.327974;Station;Voirie;Montrouge/Barbès/24;6;0;6
92049-12;92120;Montrouge;48.81909, 2.319941;Espace;Voirie;Montrouge/République/43;6;0;6
92050-02;92000;Nanterre;48.8956, 2.224588;Station;Voirie;Nanterre/Pésaro/22;6;0;6
92050-13;92000;Nanterre;48.8886703, 2.213053;Espace;Voirie;Nanterre/Champs Pierreux/29;4;0;4
92050-17;92000;Nanterre;48.8900677, 2.1857686;Station;Voirie;Nanterre/Lamartine/41;6;0;6
92050-18;92000;Nanterre;48.8906294, 2.1983695;Station;Voirie;Nanterre/Waldeck Rochet/8;6;0;6
92050-23;92000;Nanterre;48.89334, 2.198058;Station;Voirie;Nanterre/Rigault/1;6;0;6
92050-30;92000;Nanterre;48.89406, 2.22547;Station;Voirie;Nanterre/Salvador Allende/123;7;0;7
92050-34;92000;Nanterre;48.91278, 2.215178;Station;Voirie;Nanterre/Peupliers/13;6;0;6
92062-03;92800;Puteaux;48.8830992, 2.2330423;Station;Voirie;Puteaux/Fernand Pelloutier/2;6;0;6
92062-04;92800;Puteaux;48.8860877, 2.2478443;Station;Voirie;Puteaux/Arago/52;5;0;5
92063-02;92500;Rueil-Malmaison;48.8855277, 2.1719487;Station;Voirie;Rueil-Malmaison/Albert 1er/98;6;0;6
92063-04;92500;Rueil-Malmaison;48.88034, 2.180216;Station;Voirie;Rueil-Malmaison/Albert 1er/2;6;0;6
92063-20;92500;Rueil-Malmaison;48.876218, 2.187679;Station;Voirie;Rueil-Malmaison/Charles Drot/21;6;0;6
92063-23;92500;Rueil-Malmaison;48.86324, 2.181831;Station;Voirie;Rueil-Malmaison/Empereur/174;6;0;6
92071-02;92330;Sceaux;48.7793414, 2.2814988;Espace;Voirie;Sceaux/Gare/3;6;0;6
92071-05;92330;Sceaux;48.779037, 2.2891934;Station;Voirie;Sceaux/Houdan/118;6;0;6
